"Region";"Type";"Date";"Variable";"Value"
"01 Østfold";"02 Brukte eneboliger";2001;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";72,6
"01 Østfold";"02 Brukte eneboliger";2002;"Kvadratmeterpris (kr)";10224
"01 Østfold";"02 Brukte eneboliger";2002;"Endring i prosent fra foregående år";9,2
"01 Østfold";"02 Brukte eneboliger";2002;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";76,2
"01 Østfold";"02 Brukte eneboliger";2003;"Kvadratmeterpris (kr)";10298
"01 Østfold";"02 Brukte eneboliger";2003;"Endring i prosent fra foregående år";0,7
"01 Østfold";"02 Brukte eneboliger";2003;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";75
"01 Østfold";"02 Brukte eneboliger";2004;"Kvadratmeterpris (kr)";11409
"01 Østfold";"02 Brukte eneboliger";2004;"Endring i prosent fra foregående år";10,8
"01 Østfold";"02 Brukte eneboliger";2004;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";77
"01 Østfold";"02 Brukte eneboliger";2005;"Kvadratmeterpris (kr)";11865
"01 Østfold";"02 Brukte eneboliger";2005;"Endring i prosent fra foregående år";4
"01 Østfold";"02 Brukte eneboliger";2005;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";74,1
"01 Østfold";"02 Brukte eneboliger";2006;"Kvadratmeterpris (kr)";13022
"01 Østfold";"02 Brukte eneboliger";2006;"Endring i prosent fra foregående år";9,8
"01 Østfold";"02 Brukte eneboliger";2006;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";81,2
"01 Østfold";"02 Brukte eneboliger";2007;"Kvadratmeterpris (kr)";14637
"01 Østfold";"02 Brukte eneboliger";2007;"Endring i prosent fra foregående år";12,4
"01 Østfold";"02 Brukte eneboliger";2007;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";77
"01 Østfold";"02 Brukte eneboliger";2008;"Kvadratmeterpris (kr)";14952
"01 Østfold";"02 Brukte eneboliger";2008;"Endring i prosent fra foregående år";2,2
"01 Østfold";"02 Brukte eneboliger";2008;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";72,6
"01 Østfold";"02 Brukte eneboliger";2009;"Kvadratmeterpris (kr)";14561
"01 Østfold";"02 Brukte eneboliger";2009;"Endring i prosent fra foregående år";-2,6
"01 Østfold";"02 Brukte eneboliger";2009;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";65,1
"01 Østfold";"02 Brukte eneboliger";2010;"Kvadratmeterpris (kr)";15346
"01 Østfold";"02 Brukte eneboliger";2010;"Endring i prosent fra foregående år";5,3
"01 Østfold";"02 Brukte eneboliger";2010;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";66,9
"01 Østfold";"02 Brukte eneboliger";2011;"Kvadratmeterpris (kr)";16174
"01 Østfold";"02 Brukte eneboliger";2011;"Endring i prosent fra foregående år";5,4
"01 Østfold";"02 Brukte eneboliger";2011;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";67,4
"01 Østfold";"02 Brukte eneboliger";2012;"Kvadratmeterpris (kr)";16791
"01 Østfold";"02 Brukte eneboliger";2012;"Endring i prosent fra foregående år";3,8
"01 Østfold";"02 Brukte eneboliger";2012;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";64
"01 Østfold";"02 Brukte eneboliger";2013;"Kvadratmeterpris (kr)";17500
"01 Østfold";"02 Brukte eneboliger";2013;"Endring i prosent fra foregående år";4,2
"01 Østfold";"02 Brukte eneboliger";2013;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";65,9
"01 Østfold";"02 Brukte eneboliger";2014;"Kvadratmeterpris (kr)";18226
"01 Østfold";"02 Brukte eneboliger";2014;"Endring i prosent fra foregående år";4,1
"01 Østfold";"02 Brukte eneboliger";2014;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";66,5
"01 Østfold";"02 Brukte eneboliger";2015;"Kvadratmeterpris (kr)";19436
"01 Østfold";"02 Brukte eneboliger";2015;"Endring i prosent fra foregående år";6,6
"01 Østfold";"02 Brukte eneboliger";2015;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";68,3
"02 Akershus";"01 Nye eneboliger";1999;"Kvadratmeterpris (kr)";9807
"02 Akershus";"01 Nye eneboliger";1999;"Endring i prosent fra foregående år";0
"02 Akershus";"01 Nye eneboliger";1999;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";102,6
"02 Akershus";"01 Nye eneboliger";2000;"Kvadratmeterpris (kr)";11249
"02 Akershus";"01 Nye eneboliger";2000;"Endring i prosent fra foregående år";14,7
"02 Akershus";"01 Nye eneboliger";2000;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";100,2
"02 Akershus";"01 Nye eneboliger";2001;"Kvadratmeterpris (kr)";15280
"02 Akershus";"01 Nye eneboliger";2001;"Endring i prosent fra foregående år";0
"02 Akershus";"01 Nye eneboliger";2001;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";108,8
"02 Akershus";"01 Nye eneboliger";2002;"Kvadratmeterpris (kr)";16337
"02 Akershus";"01 Nye eneboliger";2002;"Endring i prosent fra foregående år";6,9
"02 Akershus";"01 Nye eneboliger";2002;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";110,1
"02 Akershus";"01 Nye eneboliger";2003;"Kvadratmeterpris (kr)";18010
"02 Akershus";"01 Nye eneboliger";2003;"Endring i prosent fra foregående år";10,2
"02 Akershus";"01 Nye eneboliger";2003;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";122,7
"02 Akershus";"01 Nye eneboliger";2004;"Kvadratmeterpris (kr)";18833
"02 Akershus";"01 Nye eneboliger";2004;"Endring i prosent fra foregående år";4,6
"02 Akershus";"01 Nye eneboliger";2004;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";119,1
"02 Akershus";"01 Nye eneboliger";2005;"Kvadratmeterpris (kr)";19932
"02 Akershus";"01 Nye eneboliger";2005;"Endring i prosent fra foregående år";5,8
"02 Akershus";"01 Nye eneboliger";2005;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";119,1
"02 Akershus";"01 Nye eneboliger";2006;"Kvadratmeterpris (kr)";19932
"02 Akershus";"01 Nye eneboliger";2006;"Endring i prosent fra foregående år";0
"02 Akershus";"01 Nye eneboliger";2006;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";105,6
"02 Akershus";"01 Nye eneboliger";2007;"Kvadratmeterpris (kr)";23241
